Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.123689,0.120623
5,59.5333,57.625,0.0266398,0.0246408
10,72.9,73.425,0.00993048,0.00949234
15,81.3,82.35,0.00420619,0.00424935
20,87.575,90.175,0.00244766,0.0025078
25,93.3,93.975,0.00168534,0.00176251
30,96.475,96.475,0.0012515,0.00134582
35,97.9333,97.825,0.000975457,0.00104579
40,98.5583,98.475,0.000795696,0.000862923
45,98.9333,98.85,0.000672984,0.000742484
50,99.1083,99.025,0.000600413,0.000671068

Training Complete!!! - > Elapsed Epochs: 50 Validation Set Accuracy: 99 Validation Set MSE: 0.000820357
